customer_id,customer_name,recency_days,frequency,monetary
112,Kabir Singh,2,25,739419.65
21,Sanya Singh,16,20,726531.9
24,Ananya Iyer,0,22,694184.62
240,Rohan Iyer,39,19,668229.34
15,Pooja Malhotra,16,17,573156.38
230,Ishaan Joshi,50,22,572083.02
155,Tanvi Iyer,36,21,560494.53
221,Karan Bhat,13,17,539625.91
204,Aarav Verma,0,20,506711.33
140,Ananya Chopra,53,19,506706.44
70,Simran Chopra,0,15,505823.07
33,Dev Bhat,40,15,462316.7
130,Sanya Bhat,25,12,459592.27
107,Nikhil Joshi,7,17,445997.62
36,Ananya Nair,19,16,442615.71
37,Riya Bhat,2,15,441237.06
9,Priya Nair,3,13,435595.93
202,Riya Mehta,8,14,428131.25
16,Kabir Malhotra,0,16,426067.41
60,Neha Bhat,12,14,411408.05
147,Anika Malhotra,107,12,409620.53
242,Sara Reddy,36,15,403364.37
114,Karan Kapoor,44,11,400420.84
232,Tanvi Gupta,6,14,399183.03
146,Aman Sharma,42,13,393789.36
59,Ishaan Gupta,13,13,389464.02
192,Meera Malhotra,117,11,373437.42
12,Yash Bhat,5,12,371484.32
2,Ananya Rao,5,14,370646.5
97,Ishaan Iyer,1,14,367092.12
91,Anika Mehta,21,11,363484.62
122,Sara Mehta,68,16,358696.82
41,Ananya Malhotra,17,10,344438.83
32,Rohan Singh,26,11,338302.1
157,Kunal Mehta,0,12,336515.58
132,Aditya Singh,53,11,335654.68
175,Meera Reddy,70,10,334748.54
199,Diya Kapoor,10,12,330810.73
89,Vivaan Reddy,84,12,328467.14
80,Priya Rao,99,10,309044.31
93,Aarav Gupta,17,12,306271.83
76,Kunal Reddy,25,11,303650.36
103,Riya Verma,1,11,302755.55
82,Tanvi Joshi,14,12,300523.17
87,Sara Bhat,12,8,299468.89
139,Nikhil Malhotra,180,9,296430.05
11,Neha Verma,67,9,295875.76
64,Simran Rao,180,10,292208.74
44,Neha Malhotra,17,14,287981.75
111,Rohan Singh,25,10,285794.68
247,Simran Gupta,2,11,285638.25
213,Neha Joshi,95,9,280247.69
216,Vivaan Iyer,3,12,273183.5
180,Diya Reddy,16,10,262903.01
25,Dev Chopra,0,11,259832.96
84,Vivaan Sharma,59,8,255833.67
223,Aman Gupta,2,10,254479.5
167,Kunal Kapoor,10,7,253503.18
