customer_id,customer_name,last_order_date,days_since_last_order
104,Vivaan Rao,2024-05-19,591
164,Aditya Reddy,2025-02-06,328
203,Vivaan Bhat,2025-02-07,327
79,Priya Bhat,2025-02-19,315
61,Neha Reddy,2025-03-11,295
138,Meera Singh,2025-03-18,288
69,Yash Sharma,2025-03-24,282
150,Kabir Patel,2025-03-26,280
7,Aarav Kapoor,2025-03-28,278
88,Kunal Chopra,2025-04-02,273
174,Dev Mehta,2025-04-06,269
200,Simran Bhat,2025-04-07,268
141,Simran Chopra,2025-04-08,267
195,Rohan Rao,2025-04-22,253
34,Anika Gupta,2025-06-04,210
55,Priya Iyer,2025-06-05,209
219,Aarav Mehta,2025-06-13,201
173,Kunal Patel,2025-06-27,187
64,Simran Rao,2025-07-04,180
139,Nikhil Malhotra,2025-07-04,180
128,Riya Patel,2025-07-10,174
28,Nikhil Singh,2025-07-11,173
42,Riya Joshi,2025-07-16,168
228,Kunal Nair,2025-07-22,162
38,Aarav Verma,2025-07-26,158
81,Yash Iyer,2025-07-27,157
71,Kabir Malhotra,2025-07-31,153
109,Aman Gupta,2025-08-01,152
171,Karan Patel,2025-08-01,152
134,Anika Chopra,2025-08-07,146
218,Tanvi Chopra,2025-08-08,145
27,Vivaan Joshi,2025-08-10,143
35,Rohan Joshi,2025-08-12,141
159,Karan Verma,2025-08-12,141
23,Karan Singh,2025-08-14,139
133,Arjun Sharma,2025-08-14,139
233,Simran Nair,2025-08-17,136
96,Ishaan Iyer,2025-08-20,133
208,Arjun Malhotra,2025-08-22,131
92,Ishaan Joshi,2025-08-27,126
192,Meera Malhotra,2025-09-05,117
14,Aditya Joshi,2025-09-14,108
94,Arjun Kapoor,2025-09-14,108
147,Anika Malhotra,2025-09-15,107
245,Diya Gupta,2025-09-16,106
129,Aditya Rao,2025-09-19,103
54,Priya Sharma,2025-09-23,99
80,Priya Rao,2025-09-23,99
241,Priya Kapoor,2025-09-26,96
213,Neha Joshi,2025-09-27,95
